id	filename	md5	size	state
2055a2ac-019e-4368-b05b-1cd1f26821d9	2055a2ac-019e-4368-b05b-1cd1f26821d9/01e47148-0a31-4903-ab1c-aeef04acd019.wxs.aliquot_ensemble_masked.maf.gz	a9b8bd97914e2317336edadd53cc756a	43676	validated
20cea5e3-7277-4491-9e47-60c9d1f44e2e	20cea5e3-7277-4491-9e47-60c9d1f44e2e/c39f309f-ce51-4894-886d-d5e17b4d1238.wxs.aliquot_ensemble_masked.maf.gz	cf07d6ab7d302b455f4c50add17000c9	43614	validated
211973a4-af24-4011-a653-3a53f4755440	211973a4-af24-4011-a653-3a53f4755440/b1f9cd83-5e15-4152-a52d-debe394b20ef.wxs.aliquot_ensemble_masked.maf.gz	eaf0dcc560ff5c295e2e00cec5acb1b6	35804	validated
2129a3eb-77cf-4022-b7c7-64b8499b700e	2129a3eb-77cf-4022-b7c7-64b8499b700e/8a11f43e-3191-44a1-bf3a-0c23c8785313.wxs.aliquot_ensemble_masked.maf.gz	be1a88bc2f632622cc4d551f56fa565a	60713	validated
213c09f2-e412-4b0b-9854-6ddedfa4c278	213c09f2-e412-4b0b-9854-6ddedfa4c278/a7bfc7b1-8293-48ad-ae9d-8b6b0d623e2b.wxs.aliquot_ensemble_masked.maf.gz	a63cad5c060c42da2584563983c31b6c	92058	validated
217114a1-a0d4-4b64-80fb-6ddf039b8d9e	217114a1-a0d4-4b64-80fb-6ddf039b8d9e/77ad8a30-f358-4ba4-b430-b6a5b461ce80.wxs.aliquot_ensemble_masked.maf.gz	a90ae931bb71e413a15f7832de611cad	36101	validated
224bcb8e-a176-4306-9e42-647eff8bddfc	224bcb8e-a176-4306-9e42-647eff8bddfc/9e5a336d-2a52-461d-9a4d-9df7a10406fe.wxs.aliquot_ensemble_masked.maf.gz	9b765f82e253e3b9690d249da78ffac8	51019	validated
2363dbc1-5d2a-41f0-b89f-2776a861e1e9	2363dbc1-5d2a-41f0-b89f-2776a861e1e9/17f0c9b1-b429-48e4-8d66-33af940d5191.wxs.aliquot_ensemble_masked.maf.gz	95212e5e55ab4fdd363fdb849a445217	50608	validated
2415877f-0015-4d05-bedf-3c738c095526	2415877f-0015-4d05-bedf-3c738c095526/7549039e-2c47-4582-ba3e-5e16dc8528f1.wxs.aliquot_ensemble_masked.maf.gz	4a62f6f01a86d6702c382eef47b6515e	38658	validated
246626b2-af13-445a-bf15-b7e4229d94a3	246626b2-af13-445a-bf15-b7e4229d94a3/1b215a02-8669-443e-9df0-ac742f80b39c.wxs.aliquot_ensemble_masked.maf.gz	0bd2e152f22f7c7c92835c3774d06f36	45932	validated
25873f8d-a85d-496a-b8d1-c1c72cd556c1	25873f8d-a85d-496a-b8d1-c1c72cd556c1/0f0761a4-9704-4201-ab1f-c358af85283f.wxs.aliquot_ensemble_masked.maf.gz	974ccf6eea24035eec437df0bcc9859d	31254	validated
26175409-6911-4ea3-b637-73e3afedd56f	26175409-6911-4ea3-b637-73e3afedd56f/71565c8a-5071-4fd8-8e08-0cf6fa131aa3.wxs.aliquot_ensemble_masked.maf.gz	c848955f4d613daa6403e1a2af6ec0fc	53560	validated
2639f6d2-5ac8-4493-b63e-63ba710a48c6	2639f6d2-5ac8-4493-b63e-63ba710a48c6/26518c53-e6ea-4c6a-bd6c-3fd9788982d8.wxs.aliquot_ensemble_masked.maf.gz	829792ccf459fdfd77cf55b45a8d5b32	567490	validated
